Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;AOL;Amazon;Apple;CenturyLink;Cisco;Comcast;GoDaddy;Google;McAfee;Microsoft;Mimecast;OVH;Oracle;Proofpoint;Rackspace;Salesforce;Symantec;TrendMicro;Yahoo
2015-01;6;0;0;0;;;;;;;;;;;;;;;;;;;
2015-02;3;0;0;0;;;;;;;;;;;;;;;;;;;
2015-03;8;0;0;0;;;;;;;;;;;;;;;;;;;
2015-04;10;0;0;0;;;;;;;;;;;;;;;;;;;
2015-05;8;0;0;0;;;;;;;;;;;;;;;;;;;
2015-06;10;2;0;0;;;;;;;;2;;;;;;;;;;;
2015-07;15;3;0;0;;;;;;;;3;;;;;;;;;;;
2015-08;40;2;0;0;1;;;;;;;1;;;;;;;;;;;
2015-09;155;2;1;1;;;;;;;;1;1;;;;;;;;;;
2015-10;63;14;5;5;1;;;;;;;10;;2;;;;;1;;;;
2015-11;34;4;0;0;1;;;;;;;2;;;;;;;;;;;1
2015-12;42;1;0;0;1;;;;;;;;;;;;;;;;;;
2016-01;33;2;2;2;;;;;;;;;;2;;;;;;;;;
2016-02;35;4;2;2;1;;;1;;;1;1;;;;;;;;;1;;
2016-03;29;1;1;1;;;;;;;;;;;;1;;;;;;;
2016-04;3429;661;391;391;7;46;4;;;;7;348;6;72;7;;4;41;8;105;11;;4
2016-05;11928;2607;1594;1593;18;128;41;;1;4;6;1487;5;404;39;;10;158;22;274;24;1;34
